animal phen patch
124 11.596 P21
125 3.205 P6
126 10.385 P9
127 8.738 P6
128 8.389 P23
129 8.118 P11
130 7.505 P7
131 10.339 P15
132 10.291 P15
133 7.316 P28
134 11.752 P29
135 10.279 P21
136 9.326 P2
137 10.15 P30
138 8.32 P17
139 9.888 P13
140 11.327 P20
141 11.029 P24
142 12.094 P22
143 10.276 P9
144 11.856 P17
145 8.148 P1
146 9.212 P18
147 11.542 P29
148 8.664 P18
149 13.32 P29
150 9.949 P11
151 10.39 P22
152 8.9 P6
153 10.297 P21
154 8.729 P26
155 10.883 P4
156 9.645 P8
157 7.71 P17
158 3.799 P2
159 6.555 P11
160 11.295 P18
161 8.108 P5
162 11.787 P11
163 9.117 P4
164 9.285 P16
165 10.846 P1
166 9.452 P26
167 6.519 P22
168 13.44 P30
169 9.619 P7
170 9.884 P16
171 8.632 P12
172 13.425 P3
173 7.832 P2
174 7.931 P29
175 10.525 P20
176 14.875 P18
177 12.039 P16
178 9.895 P9
179 11.792 P18
180 7.868 P27
181 10.911 P4
182 8.837 P7
183 7.787 P15
184 10.193 P9
185 9.141 P8
186 10.083 P9
187 8.995 P6
188 11.664 P14
189 9.577 P14
190 12.004 P8
191 9.862 P8
192 8.366 P8
193 10.549 P18
194 9.992 P4
195 12.04 P21
196 9.834 P13
197 8.86 P7
198 7.48 P6
199 6.639 P9
200 11.243 P13
201 8.815 P27
202 10.051 P1
203 11.025 P29
204 8.483 P24
205 8.198 P4
206 10.783 P18
207 9.57 P20
208 10.858 P1
209 13.863 P25
210 9.342 P23
211 10.742 P1
212 10.775 P25
213 10.094 P14
214 13.36 P7
215 9.853 P25
216 11.289 P4
217 7.229 P27
218 11.452 P1
219 10.448 P19
220 6.863 P2
221 8.875 P30
222 9.709 P21
223 10.173 P7
224 9.581 P26
225 11.238 P22
226 13.77 P16
227 11.743 P19
228 8.829 P23
229 7.552 P20
230 13.933 P19
231 13.691 P1
232 9.934 P11
233 12.269 P1
234 9.638 P2
235 8.628 P6
236 12.165 P19
237 12.021 P8
238 11.88 P4
239 6.179 P2
240 5.684 P9
241 13.442 P8
242 7.301 P12
243 10.356 P25
244 8.805 P25
245 11.612 P10
246 9.276 P20
247 10.022 P1
248 9.444 P30
249 11.609 P22
250 10.573 P2
251 10.224 P1
252 7.346 P17
253 6.103 P2
254 9.339 P6
255 13.107 P25
256 8.41 P13
257 8.363 P11
258 11.136 P20
259 9.662 P25
260 11.473 P1
261 12.954 P30
262 11.342 P24
263 8.68 P10
264 6.47 P8
265 10.341 P13
266 9.349 P10
267 8.336 P9
268 9.922 P29
269 9.373 P23
270 8.889 P7
271 9.866 P25
272 8.346 P13
273 6.942 P27
274 9.08 P6
275 8.41 P9
276 10.731 P3
277 8.874 P11
278 7.395 P2
279 7.365 P12
280 14.061 P16
281 11.828 P28
282 9.215 P21
283 9.388 P17
284 8.626 P4
285 7.926 P17
286 9.445 P17
287 12.331 P19
288 6.238 P8
289 11.877 P30
290 10.448 P18
291 10.355 P13
292 10.491 P25
293 6.041 P7
294 11.543 P4
295 11.194 P25
296 13.284 P25
297 10.272 P14
298 9.852 P30
299 7.028 P15
300 9.266 P2
301 9.629 P1
302 7.636 P12
303 11.108 P7
304 11.311 P13
305 9.965 P15
306 11.374 P16
307 8.28 P30
308 9.763 P29
309 11.624 P19
310 8.537 P21
311 11.907 P9
312 6.926 P24
313 7.289 P9
314 10.12 P28
315 8.355 P12
316 12.257 P30
317 6.789 P11
318 10.219 P2
319 11.526 P24
320 9.077 P11
321 11.287 P30
322 10.835 P24
323 16.111 P24
324 10.459 P4
325 9.633 P24
326 12.3 P9
327 8.299 P17
328 7.359 P7
329 7.428 P6
330 13.098 P7
331 11.462 P6
332 8.232 P11
333 8.912 P29
334 13.534 P24
335 11.596 P16
336 4.81 P10
337 8.528 P9
338 9.652 P25
339 10.041 P21
340 10.031 P9
341 9.478 P12
342 10.245 P22
343 10.408 P5
344 11.567 P13
345 11.711 P23
346 7.316 P27
347 6.622 P9
348 12.488 P19
349 12.092 P30
350 9.868 P1
351 10.901 P24
352 7.496 P10
353 6.739 P26
354 11.866 P1
355 11.72 P3
356 9.623 P10
357 6.511 P17
358 9.826 P15
359 9.125 P6
360 10.561 P9
361 5.615 P6
362 9.01 P30
363 12.996 P15
364 12.007 P23
365 6.006 P27
366 8.845 P25
367 10.942 P20
368 12.49 P28
369 9.79 P8
370 10.057 P12
371 12.967 P29
372 12.376 P29
373 9.565 P1
374 10.198 P4
375 12.021 P24
376 9.136 P16
377 6.197 P17
378 9.918 P18
379 8.889 P13
380 10.129 P25
381 7.645 P11
382 11.167 P1
383 11.046 P28
384 13.044 P25
385 9.308 P1
386 9.95 P8
387 5.406 P6
388 10.932 P26
389 8.058 P10
390 8.064 P24
391 13.363 P24
392 8.11 P27
393 10.94 P23
394 11.808 P16
395 12.864 P7
396 6.557 P1
397 11.254 P21
398 9.219 P27
399 7.497 P15
400 8.144 P5
401 10.754 P23
402 10.846 P10
403 7.174 P2
404 11.712 P12
405 9.318 P16
406 6.075 P8
407 9.117 P24
408 10.462 P30
409 10.075 P13
410 7.789 P9
411 10.557 P24
412 11.927 P30
413 11.22 P26
414 11.137 P30
415 7.118 P9
416 11.201 P30
417 15.623 P16
418 7.713 P13
419 12.101 P30
420 9.413 P24
421 10.738 P10
422 10.571 P8
423 9.041 P10
424 8.285 P27
425 8.771 P25
426 11.093 P20
427 8.484 P9
428 8.77 P28
429 9.602 P8
430 9.05 P9
431 9.91 P9
432 11.363 P16
433 7.091 P9
434 10.661 P29
435 16.316 P30
436 11.692 P5
437 9.637 P17
438 8.305 P30
439 10.711 P28
440 7.615 P27
441 8.75 P16
442 6.884 P7
443 10.544 P15
444 11.511 P24
445 8.685 P2
446 11.54 P12
447 8.036 P23
448 9.7 P6
449 9.666 P13
450 15.54 P16
451 12.105 P13
452 8.751 P21
453 7.98 P11
454 7.697 P11
455 9.854 P1
456 9.273 P30
457 7.066 P6
458 11.791 P23
459 10.895 P21
460 7.923 P10
461 8.582 P6
462 11.558 P7
463 10.26 P24
464 9.92 P12
465 8.234 P28
466 5.784 P27
467 11.162 P15
468 8.68 P9
469 10.204 P10
470 6.695 P6
471 6.264 P6
472 12.275 P19
473 7.55 P8
474 7.706 P17
475 9.287 P7
476 12.359 P3
477 9.66 P9
478 6.175 P2
479 12.058 P1
480 11.595 P30
481 9.443 P26
482 9.39 P4
483 8.772 P21
484 6.412 P2
485 9.407 P20
486 8.11 P7
487 9.799 P24
488 12.473 P13
489 14.265 P13
490 3.018 P2
491 9.672 P30
492 10.41 P19
493 8.049 P9
494 7.149 P17
495 9.311 P8
496 9.175 P9
497 5.326 P7
498 12.952 P26
499 10.736 P1
500 9.879 P16
501 11.106 P28
502 7.209 P9
503 10.492 P25
504 12.123 P24
505 11.744 P19
506 10.384 P7
507 8.552 P2
508 8.131 P11
509 10.753 P14
510 6.013 P17
511 9.298 P21
512 11.764 P26
513 10.557 P26
514 10.514 P8
515 10.495 P24
516 12.079 P13
517 8.528 P1
518 10.696 P24
519 10.71 P10
520 8.273 P9
521 8.914 P19
522 6.98 P9
523 9.177 P7
524 8.363 P21
525 10.896 P1
526 9.837 P8
527 7.663 P10
528 9.531 P7
529 8.897 P23
530 7.966 P24
531 10.267 P7
532 12.13 P18
533 10.998 P23
534 11.235 P26
535 8.027 P11
536 9.346 P25
537 11.163 P10
538 7.328 P10
539 7.843 P1
540 6.757 P2
541 7.779 P2
542 13.292 P28
543 6.699 P5
544 9.342 P4
545 7.564 P26
546 8.448 P9
547 7.659 P5
548 10.329 P13
549 12.936 P4
550 6.222 P6
551 8.711 P11
552 12.455 P25
553 8.274 P17
554 6.135 P10
555 10.273 P11
556 9.673 P18
557 6.539 P2
558 7.802 P6
559 12.578 P23
560 7.693 P10
561 5.138 P6
562 11.197 P6
563 8.294 P21
564 12.41 P16
565 10 P13
566 9.683 P28
567 5.193 P27
568 7.402 P2
569 10.02 P26
570 12.097 P9
571 6.943 P7
572 8.76 P21
573 10.326 P9
574 13.384 P30
575 4.415 P22
576 8.997 P28
577 7.794 P23
578 8.041 P13
579 8.738 P23
580 8.956 P29
581 9.33 P7
582 6.404 P11
583 8.178 P8
584 9.266 P30
585 9.422 P10
586 8.02 P21
587 10.923 P9
588 10.886 P23
589 8.862 P25
590 9.194 P26
591 8.194 P27
592 7.87 P30
593 10.877 P25
594 7.455 P9
595 13.363 P24
596 10.217 P20
597 9.863 P17
598 9.513 P13
599 10.411 P1
600 13.831 P13
601 9.389 P23
602 10.877 P8
603 7.949 P14
604 6.928 P27
605 9.17 P22
606 12.563 P18
607 8.241 P28
608 6.439 P17
609 11.098 P3
610 9.078 P24
611 7.353 P17
612 12.824 P6
613 11.578 P7
614 9.387 P30
615 7.293 P17
616 8.177 P8
617 7.847 P11
618 6.054 P2
619 9.676 P14
620 11.378 P7
621 9.803 P2
622 6.751 P7
623 6.209 P2
624 6.984 P17
625 9.309 P6
626 8.573 P1
627 11.36 P28
628 7.511 P22
629 9.898 P19
630 7.9 P9
631 10.597 P3
632 11.544 P8
633 12.934 P18
634 9.497 P23
635 10.646 P18
636 7.45 P2
637 8.937 P11
638 7.696 P17
639 9.923 P21
640 9.074 P17
641 9.392 P7
642 10.638 P14
643 9.673 P25
644 11.632 P7
645 7.205 P21
646 11.872 P17
647 9.47 P11
648 7.341 P8
649 6.394 P2
650 9.071 P13
651 9.361 P24
652 9.864 P4
653 7.635 P26
654 9.622 P19
655 9.478 P13
656 9.101 P24
657 10.486 P23
658 8.39 P11
659 6.878 P5
660 5.453 P8
661 8.778 P4
662 12.238 P8
663 10.068 P26
664 9.252 P10
665 10.058 P18
666 9.727 P26
667 6.761 P22
668 11.188 P4
669 9.557 P7
670 10.128 P28
671 6.944 P27
672 5.922 P10
673 9.623 P19
674 11.715 P10
675 11.88 P9
676 11.46 P8
677 9.212 P5
678 8.422 P16
679 9.311 P7
680 9.929 P20
681 11.361 P7
682 8.3 P28
683 9.736 P1
684 5.819 P17
685 11.078 P19
686 11.082 P24
687 7.621 P11
688 8.9 P30
689 9.832 P28
690 10.356 P26
691 7.21 P6
692 11.956 P30
693 9.127 P18
694 9.763 P20
695 5.646 P9
696 6.795 P2
697 12.765 P26
698 8.642 P17
699 10.263 P13
700 10.021 P1
701 8.158 P21
702 11.193 P19
703 8.909 P27
704 7.834 P10
705 11.235 P26
706 8.122 P10
707 11.34 P25
708 10.099 P26
709 11.493 P1
710 9.008 P15
711 10.877 P9
712 10.427 P11
713 8.528 P7
714 11.102 P14
715 6.401 P9
716 11.68 P26
717 8.626 P6
718 8.009 P17
719 10.679 P4
720 7.34 P6
721 9.571 P28
722 11.232 P24
723 7.856 P10
724 6.547 P5
725 7.649 P22
726 8.866 P27
727 7.426 P6
728 7.796 P22
729 10.548 P8
730 5.671 P27
731 6.454 P5
732 10.123 P4
733 7.959 P26
734 6.22 P17
735 11.291 P28
736 8.44 P26
737 7.698 P17
738 12.436 P30
739 8.783 P14
740 7.634 P6
741 9.746 P18
742 10.026 P20
743 10.004 P6
744 12.351 P13
745 10.303 P7
746 7.391 P26
747 9.481 P3
748 10.743 P28
749 8.05 P7
750 10.66 P28
751 7.67 P17
752 8.146 P23
753 9.015 P23
754 8.78 P9
755 12.431 P24
756 7.976 P6
757 7.793 P23
758 9.705 P7
759 4.697 P17
760 14.925 P30
761 13.071 P14
762 8.325 P15
763 10.329 P7
764 11.98 P19
765 7.046 P26
766 9.394 P12
767 11.558 P7
768 13.029 P15
769 11.579 P25
770 10.997 P25
771 11.25 P7
772 9.698 P7
773 9.812 P21
774 7.293 P19
775 10.333 P13
776 10.082 P9
777 13.992 P18
778 8.118 P9
779 8.473 P13
780 12.798 P14
781 11.585 P13
782 9.342 P9
783 11.037 P24
784 8.999 P21
785 9.441 P19
786 8.44 P13
787 8.767 P26
788 4.578 P27
789 8.926 P18
790 7.814 P1
791 10.182 P18
792 8.312 P12
793 6.934 P4
794 10.755 P23
795 9.205 P26
796 9.757 P13
797 6.515 P5
798 10.371 P21
799 8.771 P14
800 11.277 P28
801 9.742 P7
802 9.68 P8
803 8.624 P1
804 8.519 P2
805 6.207 P22
806 10.242 P4
807 9.533 P6
808 6.024 P27
809 12.801 P20
810 6.785 P5
811 9.565 P1
812 12.052 P4
813 13.698 P7
814 7.328 P23
815 10.034 P9
816 9.585 P7
817 6.153 P22
818 10.804 P18
819 8.95 P11
820 9.286 P9
821 8.604 P6
822 12.154 P5
823 11.678 P28
824 11.2 P3
825 10.552 P15
826 11.453 P20
827 9.316 P17
828 10.677 P7
829 13.743 P18
830 11.651 P12
831 9.488 P15
832 8.192 P1
833 7.594 P27
834 8.381 P8
835 8.173 P27
836 7.862 P8
837 6.266 P17
838 8.138 P2
839 8.532 P11
840 5.893 P9
841 8.405 P23
842 5.682 P2
843 11.418 P20
844 10.59 P15
845 9.347 P6
846 10.574 P10
847 11.342 P26
848 9.786 P30
849 8.099 P11
850 10.241 P27
851 10.348 P23
852 9.81 P15
853 12.57 P7
854 8.503 P21
855 10.323 P24
856 11.947 P25
857 12.526 P29
858 9.53 P28
859 7.705 P5
860 10.954 P4
861 6.484 P23
862 9.994 P10
863 8.195 P10
864 9.308 P7
865 11.893 P28
866 10.8 P6
867 10.482 P26
868 8.277 P13
869 8.688 P17
870 9.777 P7
871 9.168 P26
872 8.385 P17
873 9.992 P19
874 11.017 P29
875 10.302 P28
876 9.162 P20
877 11.703 P26
878 11.082 P12
879 10.459 P5
880 9.941 P12
881 8.021 P1
882 10.889 P14
883 6.741 P27
884 6.484 P22
885 6.074 P28
886 10.014 P12
887 6.473 P10
888 9.079 P1
889 8.468 P3
890 8.723 P14
891 12.014 P4
892 9.285 P29
893 9.664 P14
894 12.479 P25
895 11.688 P4
896 7.419 P11
897 10.662 P21
898 11.387 P1
899 11.613 P30
900 9.888 P7
901 8.627 P24
902 7.346 P17
903 10.196 P4
904 11.112 P29
905 10.947 P7
906 7.951 P22
907 7.29 P22
908 9.991 P24
909 8.741 P6
910 12.578 P25
911 8.521 P21
912 9.381 P6
913 12.095 P14
914 8.961 P9
915 9.041 P22
916 10.302 P29
917 6.642 P28
918 5.597 P26
919 7.507 P6
920 6.821 P11
921 8.906 P15
922 14.732 P14
923 7.77 P12
924 11.466 P20
925 12.343 P29
926 6.811 P5
927 7.025 P19
928 5.256 P5
929 8.548 P19
930 9.874 P18
931 11.704 P14
932 10.97 P4
933 7.864 P23
934 11.953 P17
935 10.203 P25
936 4.881 P6
937 9.255 P17
938 9.686 P7
939 11.715 P26
940 10.29 P4
941 10.105 P28
942 7.349 P23
943 11.256 P25
944 13.804 P18
945 9.055 P8
946 11.59 P13
947 9.002 P9
948 9.18 P9
949 8.522 P1
950 11.09 P1
951 11.446 P4
952 6.57 P21
953 11.395 P18
954 6 P11
955 11.216 P14
956 10.41 P23
957 7.981 P6
958 10.159 P7
959 4.679 P27
960 7.849 P23
961 8.596 P9
962 9.712 P15
963 7.114 P17
964 11.532 P26
965 10.683 P29
966 11.319 P29
967 7.056 P5
968 10.689 P15
969 9.61 P3
970 8.579 P15
971 8.483 P17
972 5.805 P2
973 6.265 P27
974 10.787 P10
975 9.145 P30
976 9.04 P9
977 11.627 P25
978 9.261 P13
979 9.793 P9
980 9.801 P23
981 10.292 P7
982 6.562 P2
983 10.873 P16
984 9.723 P4
985 10.433 P26
986 10.456 P28
987 9.976 P9
988 8.406 P6
989 4.549 P27
990 10.222 P15
991 8.693 P1
992 7.659 P5
993 9.026 P9
994 9.437 P30
995 8.46 P2
996 8.466 P10
997 12.509 P26
998 8.364 P18
999 11.613 P7
1000 8.694 P23
