animal dom phen
R187063 R187063 9.276
R187801 R187801 11.297
R046141 R046141 10.902
R187602 R187602 11.001
R187375 R187375 10.759
R187806 R187806 10.941
R046150 R046150 8.918
R187350 R187350 9.337
R187220 R187220 10.005
R187412 R187412 9.052
R187401 R187401 11.161
R046110 R046110 9.105
R187504 R187504 12.874
R187024 R187024 11.505
R046188 R046188 10.531
R187208 R187208 8.331
R187054 R187054 11.494
R187718 R187718 8.593
R187706 R187706 9.481
R187710 R187710 8.918
R187827 R187827 8.466
R187817 R187817 9.755
R187834 R187834 8.14
R187794 R187794 10.456
R187700 R187700 8.196
R187241 R187241 7.389
R187691 R187691 11.525
R187482 R187482 8.923
R187228 R187228 10.774
R187685 R187685 11.19
R187276 R187276 8.426
R187784 R187784 11.108
R187250 R187250 13.351
R187259 R187259 7.936
R187271 R187271 9.194
R187048 R187048 10.88
R187672 R187672 7.106
R187662 R187662 9.7
R046170 R046170 7.658
R187045 R187045 11.296
R187867 R187867 5.195
R187287 R187287 9.595
R187776 R187776 12.477
R187195 R187195 7.345
R046179 R046179 11.048
R187766 R187766 14.513
R187187 R187187 4.768
R187168 R187168 9.195
R187868 R187868 8.914
R187293 R187293 5.416
R187759 R187759 9.451
R187177 R187177 12.996
R187204 R187204 9.426
R187472 R187472 10.851
R187880 R187880 10.156
R187651 R187651 11.563
R187156 R187156 11.287
R187133 R187133 10.444
R187144 R187144 12.209
R187031 R187031 9.939
R187885 R187885 8.227
R187128 R187128 9.155
R187114 R187114 11.614
R187638 R187638 10.939
R187899 R187899 11.444
R187461 R187461 10.187
R187105 R187105 10.294
R187747 R187747 7.922
R187745 R187745 9.501
R187453 R187453 8.259
R187446 R187446 12.252
R187436 R187436 8.748
R187633 R187633 7.008
R187424 R187424 10.579
R187102 R187102 13.471
R187615 R187615 10.737
R187092 R187092 8.723
R187014 R187014 9.078
R187323 R187323 12.342
R187421 R187421 8.237
R187609 R187609 11.453
R046194 R046194 11.275
R187011 R187011 9.051
R187990 R187990 6.127
R187739 R187739 10.311
R187311 R187311 9.866
R187302 R187302 11.662
R187732 R187732 11.141
R187073 R187073 8.467
R187905 R187905 9.349
R187002 R187002 13.552
